No,Constituency,District,State,lat,long,Classifier,Population,Tire
91,Maheswaram,Rangareddy,Telangana,16.6233418,81.1440217,,0,4
92,Rajendranagar,Rangareddy,Telangana,17.3245622,78.3721516,,0,4
93,Shadnagar,Rangareddy,Telangana,17.0671702,78.2045948,,0,4
94,Narayankhed,Sangareddy,Telangana,18.0347921,77.7772967,,0,4
95,Narayanpet,Sangareddy,Telangana,16.6575976,77.6308904,NP,37563,4
96,Sangareddy,Sangareddy,Telangana,17.6155151,78.0817225,M,57113,2
97,Zahirabad,Sangareddy,Telangana,17.68133488,77.61418085,NP,44589,4
98,Dubbak,Siddipet,Telangana,18.1737336,78.6657035,,0,4
99,Gajwel,Siddipet,Telangana,17.8456745,78.6828741,,0,4
100,Husnabad,Siddipet,Telangana,18.1266495,79.2111468,,0,4
101,Mulug,Siddipet,Telangana,17.74419051,78.62945081,,0,4
102,Narsampet,Siddipet,Telangana,17.9678951,78.5831237,,0,4
103,Siddipet,Siddipet,Telangana,18.1054822,78.8489571,M,61809,2
104,Huzurnagar,Suryapet,Telangana,16.9003795,79.8745543,,0,4
105,Kodad,Suryapet,Telangana,16.9947802,79.9749826,,0,4
106,Suryapet,Suryapet,Telangana,17.1405328,79.6225105,UA,94585,2
107,Thungathurthi,Suryapet,Telangana,16.69963666,79.25171599,,0,4
108,Kodangal,Vikarabad,Telangana,17.1059881,77.6286928,,0,4
109,Pargi,Vikarabad,Telangana,17.17644333,77.87737559,,0,4
110,Quthbullapur,Vikarabad,Telangana,17.2356174,78.0285618,,0,4
111,Vicarabad,Vikarabad,Telangana,17.34102007,77.89862768,NP,42410,4
112,Wanaparthy,Wanaparthy,Telangana,16.3617799,78.0610836,NP,50114,2
113,Parkal,Warangal,Telangana,18.1980527,79.7010375,,0,4
114,Waradhanapet,Warangal,Telangana,17.7734944,79.57363111,,0,4
115,Warangal East,Warangal,Telangana,17.96597454,79.60075065,UA,579216,1
116,Warangal West,Warangal,Telangana,18.0020582,79.56624672,,0,4
117,Alair,Yadadri Bhuvanagiri,Telangana,17.64144492,79.03845222,,0,4
118,Bhongir,Yadadri Bhuvanagiri,Telangana,17.5172789,78.8863383,M,50407,2
1,Yanam,Yanam,Puducherry,16.7333666,82.2145164,M,31394,4
2,Mannadipet,Puducherry,Puducherry,11.9913435,79.6159487,,0,4
3,Oussudu,Puducherry,Puducherry,11.95422375,79.74204477,,0,4
4,Kalapet,Puducherry,Puducherry,12.030844,79.8648402,,0,4
5,Lawspet,Puducherry,Puducherry,11.9546226,79.8119343,,0,4
6,Indira Nagar,Puducherry,Puducherry,11.9398366,79.7963066,,0,4
7,Kamraj Nagar,Puducherry,Puducherry,11.93855443,79.82283212,,0,4
8,Muthialpet,Puducherry,Puducherry,11.9517574,79.8343629,,0,4
9,Thattanchavady,Puducherry,Puducherry,11.9460975,79.8031159,,0,4
10,Thirubhuvanai,Puducherry,Puducherry,11.92499825,79.64501272,,0,4
11,Raj Bhavan,Puducherry,Puducherry,11.9342538,79.83437548,,0,4
12,Ozhukarai,Puducherry,Puducherry,11.9230894,79.77757841,,0,4
13,Nellithope,Puducherry,Puducherry,11.93175025,79.81048066,,0,4
14,Kadirgamam,Puducherry,Puducherry,11.9392139,79.79539549,,0,4
15,Orleampeth,Puducherry,Puducherry,11.93129055,79.81543485,,0,4
16,Villianur,Puducherry,Puducherry,11.9132643,79.7550761,,0,4
17,Oupalam,Puducherry,Puducherry,11.92120975,79.8252018,,0,4
18,Mudaliarpet,Puducherry,Puducherry,11.9178044,79.8119484,,0,4
19,Ariankuppam,Puducherry,Puducherry,11.89375613,79.80627694,,0,4
20,Mangalam,Puducherry,Puducherry,11.8722078,79.6044038,,0,4
21,Manavely,Puducherry,Puducherry,11.91685683,79.77446974,,0,4
22,Nettapakkam,Puducherry,Puducherry,11.86496925,79.63337545,,0,4
23,Embalam,Puducherry,Puducherry,11.8646335,79.7534684,,0,4
24,Mahe,Mahe,Puducherry,11.7021978,75.5364701,M,36828,4
25,Bahour,Puducherry,Puducherry,11.805691,79.7426965,,0,4
26,Nedungadu,Karaika,Puducherry,10.972939,79.7701835,,0,4
27,Karaikal North,Karaika,Puducherry,10.91571,79.8375761,M,74438,2
28,Thirunallar,Karaika,Puducherry,10.9260133,79.7930384,,0,4
29,Karaikal South,Karaika,Puducherry,10.91571,79.8375761,,0,4
30,Neravy- T.R. Pattin,Karaika,Puducherry,10.87048738,79.83148045,,0,4
